Age,ProvinceTerritory,GenderIdentity,OnlineContact_LargeFriendGroup,Intervene_MorallyWrong,OverallMentalHealth,CyberBullying_Frequency
12,Ontario,Girl,Daily or almost daily,Somewhat agree,Fair,More than four times
18,Alberta,Girl,Daily or almost daily,Somewhat disagree,Excellent,More than four times
15,British Columbia,Boy,Don't know/doesn't apply,Somewhat agree,Good,Never
12,Ontario,Boy,Daily or almost daily,Somewhat agree,Excellent,Never
13,Ontario,Boy,Several times each day,Agree,Excellent,More than four times
13,Nova Scotia,Girl,At least every week,Agree,Very good,once or twice
17,Ontario,Girl,At least every week,Somewhat agree,Good,Never
16,British Columbia,Girl,At least every week,Somewhat agree,Good,Three or four times
17,Ontario,Girl,Never or almost never,Somewhat disagree,Good,once or twice
12,Ontario,Boy,At least every week,Agree,Good,once or twice
18,Alberta,Girl,Almost all the time throughout the day,Agree,Poor,Never
14,Ontario,Girl,At least every week,Agree,Very good,once or twice
14,Ontario,Boy,At least every week,Agree,Very good,Never
12,Newfoundland and Labrador,Boy,At least every week,Somewhat agree,Excellent,Never
13,Ontario,Girl,At least every week,Agree,Very good,Never
18,British Columbia,Girl,Never or almost never,Agree,Poor,once or twice
17,Manitoba,Girl,Daily or almost daily,Agree,Very good,Never
16,Alberta,Boy,Daily or almost daily,Prefer not to say,Very good,Prefer not to say
15,Ontario,Boy,At least every week,Agree,Excellent,Never
15,Ontario,Girl,Daily or almost daily,Somewhat disagree,Good,once or twice
16,Ontario,Boy,At least every week,Agree,Fair,Never
14,Ontario,Girl,Daily or almost daily,Agree,Good,once or twice
17,British Columbia,Boy,Daily or almost daily,Somewhat agree,Good,Never
14,Alberta,Girl,Never or almost never,Somewhat agree,Very good,Never
13,Newfoundland and Labrador,Girl,Several times each day,Somewhat agree,Fair,Three or four times
16,Manitoba,Girl,Never or almost never,Somewhat disagree,Fair,once or twice
17,British Columbia,Boy,Daily or almost daily,Somewhat agree,Good,once or twice
15,Alberta,Boy,At least every week,Agree,Excellent,More than four times
17,British Columbia,Girl,Several times each day,Agree,Excellent,Three or four times
17,Nova Scotia,Prefer not to say,Never or almost never,Somewhat agree,Good,More than four times
16,Saskatchewan,Boy,Daily or almost daily,Disagree,Very good,Never
13,British Columbia,Boy,Several times each day,Prefer not to say,Good,once or twice
16,Alberta,Gender diverse,At least every week,Somewhat agree,Excellent,Never
12,Saskatchewan,Boy,Don't know/doesn't apply,Somewhat agree,Poor,Three or four times
17,Manitoba,Boy,At least every week,Agree,Very good,Never
13,British Columbia,Girl,At least every week,Agree,Good,Never
14,New Brunswick,Girl,Never or almost never,Somewhat agree,Good,Prefer not to say
16,Newfoundland and Labrador,Girl,Several times each day,Somewhat disagree,Excellent,Never
17,Ontario,Girl,Never or almost never,Somewhat agree,Very good,Never
14,Newfoundland and Labrador,Boy,Never or almost never,Somewhat agree,Very good,once or twice
17,Manitoba,Boy,Daily or almost daily,Somewhat agree,Excellent,Never
16,Nova Scotia,Girl,Daily or almost daily,Agree,Very good,Never
14,Nova Scotia,Girl,At least every week,Agree,Very good,Never
14,Alberta,Boy,At least every week,Somewhat agree,Good,once or twice
14,Ontario,Boy,At least every week,Agree,Excellent,Never
17,Alberta,Boy,At least every week,Somewhat agree,Very good,Never
15,Alberta,Boy,Several times each day,Somewhat agree,Good,Never
12,Saskatchewan,Girl,Never or almost never,Agree,Fair,Never
16,Alberta,Boy,Daily or almost daily,Somewhat agree,Good,once or twice
13,British Columbia,Boy,Never or almost never,Somewhat agree,Good,once or twice
18,New Brunswick,Girl,Daily or almost daily,Agree,Good,Never
18,Alberta,Girl,Several times each day,Agree,Fair,once or twice
15,British Columbia,Boy,Daily or almost daily,Agree,Very good,More than four times
13,Newfoundland and Labrador,Boy,Daily or almost daily,Agree,Very good,Never
13,Alberta,Boy,At least every week,Somewhat agree,Very good,Never
14,Alberta,Girl,At least every week,Somewhat agree,Good,Never
15,Alberta,Boy,Several times each day,Agree,Fair,Never
17,Ontario,Girl,At least every week,Somewhat agree,Fair,Three or four times
18,New Brunswick,Boy,Don't know/doesn't apply,Somewhat agree,Excellent,Never
14,Ontario,Boy,At least every week,Somewhat agree,Very good,Never
18,Alberta,Girl,Don't know/doesn't apply,Somewhat agree,Good,once or twice
18,British Columbia,Boy,At least every week,Somewhat agree,Fair,Never
13,Ontario,Girl,At least every week,Somewhat agree,Very good,once or twice
13,Ontario,Girl,Don't know/doesn't apply,Somewhat agree,Good,Prefer not to say
17,Ontario,Boy,Never or almost never,Somewhat agree,Good,once or twice
14,Alberta,Boy,Daily or almost daily,Agree,Good,Prefer not to say
13,Ontario,Girl,At least every week,Agree,Good,Never
14,New Brunswick,Girl,At least every week,Agree,Good,Never
18,British Columbia,Girl,Never or almost never,Somewhat agree,Good,Three or four times
13,Ontario,Boy,Daily or almost daily,Agree,Very good,Never
15,British Columbia,Girl,Prefer not to say,Somewhat agree,Fair,Never
18,Ontario,Girl,At least every week,Somewhat disagree,Good,Three or four times
15,Saskatchewan,Girl,Daily or almost daily,Prefer not to say,Good,Never
14,Ontario,Girl,At least every week,Somewhat agree,Good,Never
16,Nova Scotia,Girl,At least every week,Somewhat agree,Very good,Never
17,Ontario,Girl,At least every week,Somewhat agree,Good,once or twice
18,Alberta,Boy,Daily or almost daily,Prefer not to say,Very good,Never
18,Nova Scotia,Boy,Never or almost never,Agree,Fair,once or twice
14,British Columbia,Boy,Don't know/doesn't apply,Somewhat agree,Fair,Never
16,Alberta,Boy,At least every week,Prefer not to say,Good,Prefer not to say
18,British Columbia,Girl,Daily or almost daily,Agree,Poor,Never
18,Ontario,Girl,Daily or almost daily,Agree,Very good,Never
18,Manitoba,Boy,At least every week,Disagree,Fair,Never
14,Newfoundland and Labrador,Girl,At least every week,Agree,Excellent,Never
14,Saskatchewan,Boy,Almost all the time throughout the day,Agree,Excellent,Three or four times
18,Alberta,Girl,At least every week,Agree,Fair,Never
15,Quebec,Boy,At least every week,Agree,Very good,Never
17,Quebec,Girl,At least every week,Agree,Very good,Never
12,Quebec,Boy,Don't know/doesn't apply,Somewhat agree,Excellent,Never
17,Quebec,Boy,At least every week,Agree,Very good,Never
15,Quebec,Girl,Several times each day,Agree,Very good,Never
