Age,ProvinceTerritory,GenderIdentity,OnlineContact_LargeFriendGroup,Intervene_MorallyWrong,OverallMentalHealth,CyberBullying_Frequency
14,Quebec,Boy,At least every week,Somewhat agree,Good,Never
14,Quebec,Boy,Daily or almost daily,Somewhat agree,Good,Never
13,Quebec,Girl,Several times each day,Somewhat agree,Good,once or twice
18,Ontario,Boy,Daily or almost daily,Somewhat agree,Excellent,once or twice
13,Quebec,Girl,Daily or almost daily,Agree,Good,once or twice
12,Quebec,Boy,Several times each day,Agree,Excellent,Never
18,Ontario,Boy,Daily or almost daily,Somewhat agree,Excellent,Never
18,Ontario,Boy,At least every week,Agree,Good,Never
15,Quebec,Boy,Prefer not to say,Agree,Good,once or twice
18,Quebec,Girl,At least every week,Somewhat disagree,Fair,More than four times
18,Quebec,Girl,Don't know/doesn't apply,Disagree,Good,Never
18,Ontario,Girl,At least every week,Agree,Good,Never
18,Ontario,Girl,At least every week,Agree,Poor,More than four times
16,Quebec,Girl,Never or almost never,Somewhat agree,Excellent,once or twice
18,Ontario,Girl,At least every week,Agree,Poor,once or twice
18,Quebec,Girl,Don't know/doesn't apply,Prefer not to say,Good,Never
15,Ontario,Boy,At least every week,Prefer not to say,Very good,Never
18,Ontario,Boy,Prefer not to say,Somewhat agree,Good,Prefer not to say
14,Ontario,Boy,At least every week,Prefer not to say,Good,Never
18,Ontario,Boy,At least every week,Somewhat agree,Good,Never
14,Manitoba,Girl,Don't know/doesn't apply,Agree,Very good,Never
16,Ontario,Girl,Daily or almost daily,Somewhat agree,Excellent,Never
18,Ontario,Girl,Several times each day,Agree,Good,once or twice
18,Ontario,Boy,Several times each day,Somewhat disagree,Good,Prefer not to say
12,Quebec,Girl,Don't know/doesn't apply,Disagree,Excellent,Never
18,Quebec,Boy,Prefer not to say,Prefer not to say,Prefer not to say,Never
18,Quebec,Girl,Don't know/doesn't apply,Somewhat agree,Fair,Never
15,Ontario,Girl,Several times each day,Agree,Good,Never
12,Quebec,Girl,At least every week,Agree,Very good,once or twice
14,Ontario,Boy,Daily or almost daily,Agree,Good,once or twice
18,Quebec,Boy,Don't know/doesn't apply,Somewhat disagree,Excellent,Never
15,Ontario,Girl,At least every week,Agree,Very good,Never
17,Quebec,Girl,At least every week,Somewhat disagree,Very good,Never
18,Quebec,Boy,Never or almost never,Agree,Excellent,Never
12,Ontario,Girl,At least every week,Somewhat agree,Fair,More than four times
14,Ontario,Boy,At least every week,Agree,Good,Three or four times
12,Ontario,Boy,Daily or almost daily,Prefer not to say,Prefer not to say,Prefer not to say
18,Quebec,Boy,At least every week,Somewhat agree,Poor,once or twice
15,Ontario,Girl,Don't know/doesn't apply,Agree,Good,Never
17,Ontario,Boy,At least every week,Agree,Very good,once or twice
18,Ontario,Boy,Daily or almost daily,Somewhat disagree,Very good,once or twice
18,Quebec,Girl,Daily or almost daily,Disagree,Very good,Never
14,Quebec,Girl,Never or almost never,Agree,Good,Never
12,Ontario,Boy,At least every week,Agree,Very good,Never
13,Quebec,Girl,Never or almost never,Agree,Fair,once or twice
15,Quebec,Boy,Never or almost never,Agree,Excellent,Never
15,Quebec,Girl,Daily or almost daily,Agree,Excellent,Never
15,Quebec,Girl,Prefer not to say,Agree,Very good,Never
18,Quebec,Boy,Never or almost never,Somewhat agree,Very good,Never
12,Quebec,Boy,Daily or almost daily,Agree,Excellent,Never
14,Ontario,Boy,Daily or almost daily,Somewhat agree,Good,once or twice
13,Ontario,Boy,Several times each day,Agree,Very good,once or twice
12,Quebec,Girl,Several times each day,Somewhat agree,Very good,Never
18,Quebec,Boy,Prefer not to say,Somewhat disagree,Good,once or twice
12,Ontario,Boy,Never or almost never,Somewhat agree,Good,once or twice
15,Quebec,Girl,Daily or almost daily,Somewhat disagree,Excellent,Never
13,Ontario,Boy,Don't know/doesn't apply,Prefer not to say,Excellent,Never
14,Quebec,Boy,Never or almost never,Agree,Fair,Never
14,Quebec,Girl,Don't know/doesn't apply,Agree,Good,Never
13,Quebec,Boy,Several times each day,Agree,Fair,Three or four times
13,Quebec,Girl,At least every week,Agree,Very good,Never
14,Quebec,Girl,At least every week,Agree,Very good,once or twice
12,Quebec,Boy,Several times each day,Disagree,Very good,Never
12,Quebec,Boy,Daily or almost daily,Agree,Excellent,Never
15,Quebec,Boy,Several times each day,Somewhat agree,Fair,Never
15,Quebec,Boy,At least every week,Somewhat disagree,Good,Never
13,Quebec,Boy,Never or almost never,Prefer not to say,Good,Never
14,Quebec,Girl,Never or almost never,Disagree,Very good,Never
16,Quebec,Boy,Daily or almost daily,Agree,Excellent,once or twice
12,Quebec,Boy,Never or almost never,Agree,Excellent,Never
12,Quebec,Girl,Several times each day,Somewhat disagree,Poor,once or twice
14,Ontario,Boy,Daily or almost daily,Agree,Excellent,Never
14,Quebec,Girl,Never or almost never,Agree,Good,Never
14,Ontario,Girl,At least every week,Disagree,Excellent,Never
13,Quebec,Boy,Daily or almost daily,Agree,Very good,once or twice
13,Quebec,Boy,Never or almost never,Somewhat agree,Very good,Never
13,Ontario,Girl,Daily or almost daily,Somewhat agree,Fair,Three or four times
12,Quebec,Boy,Never or almost never,Somewhat agree,Very good,once or twice
14,Quebec,Girl,At least every week,Somewhat disagree,Very good,Three or four times
12,Quebec,Boy,At least every week,Agree,Very good,Never
18,Quebec,Boy,Several times each day,Somewhat disagree,Poor,once or twice
14,Ontario,Girl,Daily or almost daily,Agree,Good,More than four times
14,Quebec,Girl,Daily or almost daily,Agree,Very good,Never
12,Ontario,Girl,Daily or almost daily,Agree,Poor,More than four times
14,Ontario,Boy,Daily or almost daily,Agree,Excellent,Never
15,Ontario,Girl,Daily or almost daily,Agree,Fair,Never
13,Quebec,Girl,At least every week,Somewhat agree,Fair,Three or four times
14,Quebec,Boy,Prefer not to say,Prefer not to say,Very good,Never
13,Quebec,Boy,At least every week,Somewhat agree,Very good,Never
14,Quebec,Boy,Daily or almost daily,Agree,Very good,Never
14,Quebec,Boy,Daily or almost daily,Agree,Fair,once or twice
15,Quebec,Girl,Daily or almost daily,Agree,Excellent,Three or four times
14,Quebec,Girl,At least every week,Agree,Fair,Three or four times
16,Quebec,Boy,At least every week,Somewhat agree,Good,Never
13,Quebec,Boy,Never or almost never,Agree,Good,Never
18,Quebec,Boy,Prefer not to say,Agree,Very good,More than four times
15,Quebec,Boy,Don't know/doesn't apply,Prefer not to say,Very good,Never
14,Quebec,Boy,At least every week,Somewhat agree,Very good,once or twice
13,Quebec,Girl,Several times each day,Somewhat agree,Very good,once or twice
13,Quebec,Boy,At least every week,Agree,Very good,Never
17,Quebec,Boy,Daily or almost daily,Agree,Good,More than four times
12,Quebec,Boy,Daily or almost daily,Agree,Excellent,Never
13,Quebec,Boy,Daily or almost daily,Somewhat agree,Good,once or twice
18,Quebec,Boy,Don't know/doesn't apply,Somewhat agree,Good,Never
12,Quebec,Boy,Never or almost never,Somewhat agree,Good,Three or four times
15,Quebec,Girl,Never or almost never,Agree,Excellent,Never
15,Quebec,Girl,Don't know/doesn't apply,Prefer not to say,Fair,Never
17,Quebec,Boy,Don't know/doesn't apply,Agree,Good,once or twice
12,Quebec,Boy,Don't know/doesn't apply,Somewhat disagree,Good,Never
18,Quebec,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say
13,Quebec,Girl,Daily or almost daily,Agree,Excellent,Three or four times
18,Quebec,Boy,Prefer not to say,Agree,Poor,Three or four times
18,Quebec,Boy,At least every week,Somewhat agree,Very good,Three or four times
14,Quebec,Girl,At least every week,Agree,Fair,Never
13,Quebec,Girl,Several times each day,Agree,Excellent,Three or four times
14,Quebec,Girl,Several times each day,Agree,Excellent,Never
12,Quebec,Boy,Several times each day,Agree,Excellent,Never
13,Quebec,Girl,Don't know/doesn't apply,Agree,Good,Never
13,Quebec,Boy,Daily or almost daily,Agree,Fair,once or twice
14,Quebec,Boy,Daily or almost daily,Agree,Good,Never
13,Quebec,Girl,Daily or almost daily,Agree,Excellent,More than four times
13,Quebec,Boy,Daily or almost daily,Agree,Very good,once or twice
13,Quebec,Girl,Never or almost never,Agree,Fair,Never
12,Quebec,Girl,At least every week,Somewhat agree,Excellent,Never
15,Quebec,Boy,Never or almost never,Somewhat agree,Excellent,Never
14,Quebec,Girl,Don't know/doesn't apply,Agree,Fair,Never
14,Quebec,Girl,At least every week,Somewhat disagree,Very good,Never
12,Quebec,Girl,Never or almost never,Agree,Excellent,Never
12,Ontario,Girl,Daily or almost daily,Agree,Very good,Three or four times
15,Saskatchewan,Girl,Several times each day,Somewhat disagree,Very good,Never
15,Alberta,Girl,Daily or almost daily,Somewhat agree,Very good,Never
15,British Columbia,Boy,Daily or almost daily,Somewhat agree,Very good,Never
14,Quebec,Girl,At least every week,Agree,Very good,Never
13,Ontario,Boy,Almost all the time throughout the day,Somewhat agree,Very good,Three or four times
15,Nova Scotia,Girl,At least every week,Agree,Very good,Never
14,Alberta,Girl,Daily or almost daily,Agree,Excellent,Never
14,Ontario,Boy,Don't know/doesn't apply,Agree,Good,Never
14,Newfoundland and Labrador,Girl,Daily or almost daily,Somewhat agree,Excellent,Never
13,British Columbia,Girl,At least every week,Somewhat agree,Good,Never
15,Ontario,Boy,Daily or almost daily,Somewhat agree,Good,Never
15,Saskatchewan,Girl,Daily or almost daily,Agree,Fair,Prefer not to say
15,Nova Scotia,Boy,Daily or almost daily,Agree,Excellent,Never
14,British Columbia,Girl,At least every week,Somewhat agree,Fair,Never
13,Quebec,Boy,Several times each day,Agree,Excellent,Never
15,Alberta,Boy,Several times each day,Somewhat disagree,Good,Never
12,Quebec,Boy,At least every week,Somewhat agree,Good,Never
12,Manitoba,Boy,Never or almost never,Agree,Very good,Never
12,Alberta,Girl,At least every week,Agree,Excellent,Never
13,Quebec,Boy,Daily or almost daily,Agree,Very good,Never
13,Quebec,Boy,Don't know/doesn't apply,Agree,Good,Three or four times
13,Manitoba,Boy,Daily or almost daily,Somewhat agree,Very good,Never
17,Newfoundland and Labrador,Boy,Daily or almost daily,Agree,Very good,Never
16,British Columbia,Girl,At least every week,Somewhat disagree,Good,Never
15,New Brunswick,Girl,Several times each day,Somewhat agree,Good,Never
12,New Brunswick,Girl,At least every week,Agree,Fair,once or twice
17,Quebec,Boy,Daily or almost daily,Agree,Excellent,Never
12,Alberta,Boy,Daily or almost daily,Agree,Fair,Never
12,Ontario,Girl,Daily or almost daily,Somewhat agree,Good,More than four times
17,Alberta,Boy,Several times each day,Somewhat agree,Fair,Never
17,Quebec,Boy,Several times each day,Disagree,Excellent,Never
13,British Columbia,Boy,At least every week,Somewhat agree,Excellent,once or twice
12,Alberta,Girl,At least every week,Agree,Very good,Never
14,Alberta,Boy,Daily or almost daily,Somewhat agree,Excellent,Never
12,Ontario,Boy,Don't know/doesn't apply,Agree,Excellent,More than four times
15,Quebec,Girl,Daily or almost daily,Somewhat disagree,Excellent,once or twice
15,Newfoundland and Labrador,Girl,At least every week,Somewhat agree,Good,once or twice
14,Newfoundland and Labrador,Boy,Several times each day,Agree,Very good,Three or four times
12,New Brunswick,Girl,Don't know/doesn't apply,Agree,Good,Never
